Liefertermin Montag 26.11.07;;;;;;

Anzahl;WHS - Profile ;;Anzahl;WHS - Profile;;

4;4496;;3;1796;;
2;4404;;8;1756;;
4;4186;;4;1704;;
1;3783;;1;1300;;
1;3766;;1;1296;;
4;3760;;2;1236;;
1;3720;;5;1176;;
4;3650;;5;1071;;
1;3596;;1;950;;
1;3469;;2;840;;
4;3433;;1;758;;
1;3276;;1;746;;
1;3146;;7;600;;
1;3120;;1;589;;
1;3100;;2;426;;
4;3086;;2;376;;
1;3036;;4;358;;
4;2964;;;;;
8;2906;;;;;
1;2898;;;;;
1;2730;;;;;
3;2698;;;;;
13;2696;;;;;
5;2396;;;;;
4;2260;;;;;
5;2246;;;;;
4;2111;;;;;
1;2096;;154 St.;;;
5;2083;;;
1;2050;;;
1;1990;;;
3;1988;;;
4;1936;;;
2;1850;;;
1;1806;;;
2;1798;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
